LAT,LON,X==EW,Y==NS,Z,SLIP
-30.0681,-71.7495,-11.5151,170.2312,20.405,0.0631
-29.9607,-71.7363,-10.2511,182.1743,20.405,0.0523
-29.8533,-71.723,-8.9747,194.1173,20.405,0.1712
-32.4387,-71.9537,-30.4955,-93.3953,23.27,0.0026
-32.3313,-71.9404,-29.2772,-81.4498,23.27,0.5723
-32.2239,-71.9272,-28.0605,-69.5045,23.27,0.5242
-32.1165,-71.9139,-26.8408,-57.5593,23.27,0.302
-32.0091,-71.9007,-25.6229,-45.6143,23.27,0.0515
-31.9017,-71.8874,-24.3925,-33.6695,23.27,0.4537
-31.7943,-71.8742,-23.1686,-21.7248,23.27,1.2506
-31.6869,-71.8609,-21.9276,-9.7802,23.27,2.0525
-31.5795,-71.8477,-20.7025,2.1642,23.27,2.9872
-31.4721,-71.8344,-19.4555,14.1084,23.27,4.1207
-31.3647,-71.8212,-18.2246,26.0525,23.27,5.2222
-31.2573,-71.8079,-16.9764,37.9965,23.27,4.3583
-31.1499,-71.7946,-15.7206,49.9403,23.27,5.4901
-31.0425,-71.7814,-14.4809,61.8839,23.27,5.4796
-30.9351,-71.7681,-13.2192,73.8274,23.27,4.6685
-30.8277,-71.7549,-11.9737,85.7707,23.27,2.5371
-30.7203,-71.7416,-10.711,97.7139,23.27,0.1809
-30.6129,-71.7284,-9.455,109.6569,23.27,0.1398
-30.5055,-71.7151,-8.1865,121.5998,23.27,0.1601
-30.3981,-71.7019,-6.9248,133.5425,23.27,0.4617
-30.2907,-71.6886,-5.6506,145.485,23.27,0.0072
-30.1833,-71.6754,-4.3831,157.4274,23.27,0.1799
-30.0759,-71.6621,-3.1032,169.3697,23.27,0.0435
-29.9685,-71.6489,-1.8301,181.3118,23.27,0.0024
-29.8611,-71.6356,-0.5446,193.2537,23.27,0.0408
-32.4466,-71.8662,-22.2819,-94.2524,26.135,0.2083
-32.3392,-71.853,-21.0634,-82.3079,26.135,0.0823
-32.2318,-71.8397,-19.8277,-70.3636,26.135,0.3752
-32.1244,-71.8265,-18.6079,-58.4195,26.135,0.0905
-32.017,-71.8132,-17.3711,-46.4755,26.135,0.1478
-31.9096,-71.8,-16.1406,-34.5316,26.135,0.2731
-31.8022,-71.7867,-14.8978,-22.5879,26.135,0.1655
-31.6948,-71.7735,-13.6567,-10.6444,26.135,1.3272
-31.5874,-71.7602,-12.4127,1.299,26.135,2.2806
-31.48,-71.747,-11.1658,13.2423,26.135,3.5993
-31.3726,-71.7337,-9.9159,25.1854,26.135,3.8408
-31.2652,-71.7205,-8.6679,37.1283,26.135,3.6036
-31.1578,-71.7072,-7.4075,49.0711,26.135,4.4115
-31.0504,-71.694,-6.1537,61.0137,26.135,3.8402
-30.943,-71.6807,-4.8827,72.9562,26.135,2.9855
-30.8356,-71.6675,-3.6279,84.8985,26.135,1.4521
-30.7282,-71.6542,-2.3559,96.8406,26.135,0.6978
-30.6208,-71.641,-1.0906,108.7827,26.135,0.0369
-30.5134,-71.6277,0.1872,120.7245,26.135,0.1721
-30.406,-71.6144,1.4677,132.6662,26.135,0.0057
-30.2986,-71.6012,2.7416,144.6078,26.135,0.0472
-30.1912,-71.5879,4.023,156.5492,26.135,0.0442
-30.0838,-71.5747,5.3073,168.4904,26.135,0.115
-29.9764,-71.5614,6.5991,180.4315,26.135,0.0609
-29.869,-71.5482,7.8842,192.3725,26.135,0.1312
-32.4544,-71.7788,-14.0791,-95.105,29,0.0806
-32.347,-71.7656,-12.851,-83.1616,29,0.1658
-32.2396,-71.7523,-11.6105,-71.2182,29,0.1617
-32.1322,-71.7391,-10.3765,-59.2751,29,0.0538
-32.0248,-71.7258,-9.1301,-47.3321,29,0.4923
-31.9174,-71.7126,-7.8901,-35.3893,29,0.0702
-31.81,-71.6993,-6.6378,-23.4466,29,0.0581
-31.7026,-71.6861,-5.3873,-11.504,29,0.7567
-31.5952,-71.6728,-4.1338,0.4384,29,2.2111
-31.4878,-71.6595,-2.868,12.3806,29,3.5934
-31.3804,-71.6463,-1.6182,24.3227,29,3.6865
-31.273,-71.633,-0.3513,36.2646,29,3.3664
-31.1656,-71.6198,0.909,48.2064,29,4.0702
-31.0582,-71.6065,2.1817,60.148,29,3.1182
-30.9508,-71.5933,3.4525,72.0894,29,2.3375
-30.8434,-71.58,4.7262,84.0308,29,1.4977
-30.736,-71.5668,5.9979,95.9719,29,0.8999
